Platform_Area,Topside_LWT,Lifetime,Shipbuilding_Time,Oil_Production,Block,Process,Pipe_Total,Pipe_usage
19308.2,7000,15,1.8,0.12,99,90,3548,780.6
18037.6,20000,20,3.2,0.035,112,91,4015,843.2
20021.6,6500,17,1.9,0.1,103,91,4705,1082.2
17852.8,14500,20,3,0.18,119,89,5862,1231
19825,32000,30,3.6,0.22,90,88,6875,1581.3
18605,37478,20,3.7,0.22,120,88,6390,1405.8
19842.99,14000,15,2.3,0.14,106,92,6195,1424.9
14927,16000,17,2.2,0.085,108,89,4980,1145.4
12498.2,12000,15,2.1,0.08,106,89,5194,1090.7
10176.6,4500,10,1.9,0.06,85,89,3093,711.4
